pmid	gene_id	Symbol
19730683	1437	CSF2
22711876	1453	CSNK1D
18676742	1474	CST6
21503841	1490	CTGF
22964303	1490	CTGF
23847295	1490	CTGF
12107263	1499	CTNNB1
18316596	1499	CTNNB1
18632669	1499	CTNNB1
19534622	1499	CTNNB1
21545903	1499	CTNNB1
21994129	1499	CTNNB1
22199277	1499	CTNNB1
23235344	1499	CTNNB1
23261982	1499	CTNNB1
23796566	1499	CTNNB1
17145811	150696	PROM2
8635854	1508	CTSB
20536394	1508	CTSB
21217776	1512	CTSH
20536394	1515	CTSV
23666966	151887	CCDC80
17158763	1543	CYP1A1
18601742	1543	CYP1A1
21086258	1543	CYP1A1
22855999	1543	CYP1A1
22855999	1544	CYP1A2
12107237	156	ADRBK1
18451066	156	ADRBK1
17547692	1565	CYP2D6
16937432	1581	CYP7A1
16937432	1582	CYP8B1
20350937	158427	TSTD2
21385079	1591	CYP24A1
22511602	1591	CYP24A1
22690899	1591	CYP24A1
22511602	1594	CYP27B1
21509594	1603	DAD1
15001644	160728	SLC5A8
16858683	160728	SLC5A8
19730683	160728	SLC5A8
16858683	1612	DAPK1
15978330	1633	DCK
15785240	1634	DCN
22157935	1649	DDIT3
22691366	1649	DDIT3
21739307	170261	ZCCHC12
17098703	171559	HMGA1P2
18601742	1728	NQO1
23918565	1728	NQO1
15785240	1733	DIO1
19730683	1733	DIO1
22207295	1733	DIO1
15785240	1734	DIO2
17991726	1734	DIO2
18514391	1734	DIO2
21715540	1734	DIO2
22207295	1734	DIO2
16037131	1735	DIO3
22823995	1735	DIO3
16153436	1796	DOK1
12112826	1803	DPP4
12820316	1803	DPP4
17091451	1803	DPP4
22086610	1803	DPP4
24222120	1846	DUSP4
22535643	1848	DUSP6
23132790	1848	DUSP6
24222120	1848	DUSP6
12511608	1869	E2F1
15118916	1869	E2F1
17910524	1869	E2F1
15978330	1890	TYMP
20501673	1901	S1PR1
22889737	1901	S1PR1
22797060	1902	LPAR1
22889737	1903	S1PR3
15838337	1906	EDN1
22510270	1909	EDNRA
17397984	1950	EGF
17991726	1950	EGF
18813355	1950	EGF
22797360	1950	EGF
8729040	1956	EGFR
18424286	1956	EGFR
19253367	1956	EGFR
19276143	1956	EGFR
19330625	1956	EGFR
19776290	1956	EGFR
19860576	1956	EGFR
20877637	1956	EGFR
21220477	1956	EGFR
21240064	1956	EGFR
22007939	1956	EGFR
22797360	1956	EGFR
23569038	1956	EGFR
23746767	1956	EGFR
24170107	1956	EGFR
12139968	196	AHR
12186496	1965	EIF2S1
21873938	1969	EPHA2
12186496	1977	EIF4E
18559567	200162	SPAG17
21414327	200558	APLF
19302538	2010	EMD
23376845	2022	ENG
19730683	2033	EP300
21873938	2043	EPHA4
22528941	2050	EPHB4
14584755	2056	EPO
16699298	2056	EPO
14584755	2057	EPOR
16699298	2057	EPOR
10713182	2063	NR2F6
14682475	2064	ERBB2
16395492	2064	ERBB2
19860576	2064	ERBB2
20032008	2064	ERBB2
23467725	2064	ERBB2
18424286	2065	ERBB3
18424286	2066	ERBB4
16214924	2068	ERCC2
14985374	207	AKT1
15896313	207	AKT1
15994200	207	AKT1
16946008	207	AKT1
17317825	207	AKT1
18682509	207	AKT1
19487299	207	AKT1
19815051	207	AKT1
19897009	207	AKT1
20008098	207	AKT1
20186503	207	AKT1
20526288	207	AKT1
20860430	207	AKT1
21191179	207	AKT1
22199277	207	AKT1
12733712	208	AKT2
20186503	208	AKT2
10713182	2099	ESR1
14715875	2099	ESR1
15059947	2099	ESR1
17591692	2099	ESR1
17951536	2099	ESR1
19519176	2099	ESR1
19828692	2099	ESR1
20032008	2099	ESR1
20372779	2099	ESR1
20581768	2099	ESR1
21707866	2099	ESR1
22132110	2099	ESR1
22521644	2099	ESR1
22531679	2099	ESR1
14715875	2100	ESR2
17333268	2100	ESR2
17951536	2100	ESR2
20372779	2100	ESR2
20581768	2100	ESR2
22531679	2100	ESR2
23106428	2100	ESR2
23516535	2101	ESRRA
8570200	2130	EWSR1
21364949	214	ALCAM
23148625	214	ALCAM
21289264	2146	EZH2
20959469	216	ALDH1A1
18682509	2194	FASN
22135723	2194	FASN
16528372	2200	FBN1
8093642	220988	HNRNPA3
12727994	2247	FGF2
17545628	2260	FGFR1
19730683	2260	FGFR1
17545628	2263	FGFR2
17699848	2263	FGFR2
18829569	2263	FGFR2
22345151	2263	FGFR2
15564323	2264	FGFR4
19730683	2264	FGFR4
16698048	2272	FHIT
20606729	2272	FHIT
20689140	2272	FHIT
15803188	2277	FIGF
19730683	2277	FIGF
19771906	2277	FIGF
21319951	2277	FIGF
21781145	2277	FIGF
19730683	22925	PLA2R1
23261982	22943	DKK1
21509594	23016	EXOSC7
11762722	2304	FOXE1
19198613	2304	FOXE1
19730683	2304	FOXE1
20350937	2304	FOXE1
21730105	2304	FOXE1
21896990	2304	FOXE1
21981779	2304	FOXE1
22521644	2304	FOXE1
22736773	2304	FOXE1
22882326	2304	FOXE1
23327367	2304	FOXE1
23715628	2304	FOXE1
23894154	2304	FOXE1
22049175	2305	FOXM1
22919068	2305	FOXM1
23160481	2308	FOXO1
14550271	23082	PPRC1
19956726	23082	PPRC1
10337992	23085	ERC1
10697956	23085	ERC1
12203787	23085	ERC1
16053381	23089	PEG10
22718346	2309	FOXO3
19422879	231	AKR1B1
20615131	2321	FLT1
21097568	2321	FLT1
22711876	23291	FBXW11
23412977	23326	USP22
12538453	2335	FN1
14558920	2335	FN1
15890670	2335	FN1
16091757	2335	FN1
17704536	2335	FN1
18829569	2335	FN1
18958156	2335	FN1
19730683	2335	FN1
20470202	2335	FN1
21508391	2335	FN1
23098431	2335	FN1
17437281	23373	CRTC1
23898059	23410	SIRT3
22986535	23411	SIRT1
19321014	23475	QPRT
18701502	23492	CBX7
19291294	23495	TNFRSF13B
12687275	2353	FOS
17209045	2353	FOS
21596819	238	ALK
23050789	238	ALK
22864639	239	ALOX12
22253131	240	ALOX5
19815051	2475	MTOR
19897009	2475	MTOR
21822208	2475	MTOR
22549934	2475	MTOR
22753663	2475	MTOR
23828865	2475	MTOR
8673729	2517	FUCA1
9440806	2521	FUS
14568171	2530	FUT8
23168236	2532	DARC
12237775	2534	FYN
2917966	2547	XRCC6
15940252	2549	GAB1
23183267	25797	QPCT
15785239	25824	PRDX5
18559958	25890	ABI3BP
21131195	25937	WWTR1
17540725	2597	GAPDH
12490074	2621	GAS6
21343401	2621	GAS6
16396960	2624	GATA2
16101158	26471	NUPR1
11360200	2674	GFRA1
12490080	2674	GFRA1
16813162	2674	GFRA1
12490080	2675	GFRA2
11360200	2676	GFRA3
12490080	2676	GFRA3
19730683	268	AMH
19730683	2690	GHR
18191019	2706	GJB2
22368156	27086	FOXP1
22736042	27086	FOXP1
21994129	27121	DKK4
23958302	27121	DKK4
23702469	27122	DKK3
22486813	27131	SNX5
18511877	2719	GPC3
10891505	2720	GLB1
23212265	27250	PDCD4
16505486	27329	ANGPTL3
22031513	2740	GLP1R
22693487	2740	GLP1R
22923201	27429	HTRA2
19445628	2776	GNAQ
20714830	2776	GNAQ
21487925	2776	GNAQ
7751320	2778	GNAS
12364467	2778	GNAS
12970318	2778	GNAS
15112914	2778	GNAS
15181091	2778	GNAS
18694911	2778	GNAS
19550078	2778	GNAS
21773967	2778	GNAS
16178055	2784	GNB3
17136758	2784	GNB3
21274726	2798	GNRHR
14568170	2810	SFN
18440129	2810	SFN
12688353	2833	CXCR3
21400522	284	ANGPT1
21509594	284440	LINC00663
21400522	285	ANGPT2
17937619	2878	GPX3
19375609	2878	GPX3
22158039	2888	GRB14
23685895	28987	NOB1
19352385	29078	NDUFAF4
10713182	2908	NR3C1
20926535	29108	PYCARD
23193072	29126	CD274
11524231	2919	CXCL1
12433731	2944	GSTM1
12536075	2944	GSTM1
12740153	2944	GSTM1
15120911	2944	GSTM1
16427734	2944	GSTM1
16847185	2944	GSTM1
17158763	2944	GSTM1
18094897	2944	GSTM1
18591888	2944	GSTM1
18601742	2944	GSTM1
19169061	2944	GSTM1
19629346	2944	GSTM1
21086258	2944	GSTM1
12536075	2950	GSTP1
15120911	2950	GSTP1
15159014	2950	GSTP1
17133316	2950	GSTP1
17158763	2950	GSTP1
18601742	2950	GSTP1
19169061	2950	GSTP1
12433731	2952	GSTT1
12536075	2952	GSTT1
15120911	2952	GSTT1
16427734	2952	GSTT1
16847185	2952	GSTT1
17158763	2952	GSTT1
18094897	2952	GSTT1
18591888	2952	GSTT1
18601742	2952	GSTT1
19169061	2952	GSTT1
19629346	2952	GSTT1
21086258	2952	GSTT1
16627980	301	ANXA1
15956966	3043	HBB
21137070	306	ANXA3
19802013	3065	HDAC1
20498639	3065	HDAC1
20680269	3065	HDAC1
19802013	3066	HDAC2
21637923	3073	HEXA
21637923	3074	HEXB
19299442	30818	KCNIP3
19730683	30818	KCNIP3
15192042	3082	HGF
20558345	3082	HGF
22127603	3082	HGF
22267200	3084	NRG1
10871399	3087	HHEX
11889211	3087	HHEX
12655000	3087	HHEX
15062550	3087	HHEX
17536453	3091	HIF1A
18239067	3091	HIF1A
19558833	3091	HIF1A
19808899	3091	HIF1A
20473281	3091	HIF1A
22151618	3091	HIF1A
24197448	3091	HIF1A
17868400	3101	HK3
14716759	3107	HLA-C
19242058	3107	HLA-C
16430717	3117	HLA-DQA1
16430717	3119	HLA-DQB1
16430717	3123	HLA-DRB1
20164547	3123	HLA-DRB1
20164547	3126	HLA-DRB4
18239067	3131	HLF
22930786	3135	HLA-G
23261411	3135	HLA-G
21042739	3146	HMGB1
23023232	3146	HMGB1
9751634	3159	HMGA1
19060921	3159	HMGA1
20668010	3164	NR4A1
19470727	3169	FOXA1
18682709	3170	FOXA2
19574297	3184	HNRNPD
8920965	3213	HOXB3
22225776	3219	HOXB9
18480379	322	APBB1
11696170	324	APC
12955080	324	APC
14574158	324	APC
16680592	324	APC
17665205	324	APC
20935450	324	APC
22825279	324	APC
23796566	324	APC
19785722	3240	HP
16997128	3248	HPGD
10891505	3265	HRAS
12727991	3265	HRAS
15098441	3265	HRAS
15320975	3265	HRAS
15761501	3265	HRAS
16532025	3265	HRAS
17943694	3265	HRAS
18310288	3265	HRAS
18383861	3265	HRAS
19487299	3265	HRAS
20012784	3265	HRAS
20526288	3265	HRAS
20860430	3265	HRAS
21826673	3265	HRAS
22199277	3265	HRAS
22431868	3265	HRAS
22865907	3265	HRAS
23150177	3265	HRAS
23240926	3265	HRAS
23264394	3265	HRAS
24222113	3265	HRAS
11182545	328	APEX1
12242029	328	APEX1
18779313	328	APEX1
15767343	3284	HSD3B2
17630106	331	XIAP
19355825	331	XIAP
21935275	331	XIAP
12883703	332	BIRC5
17219991	332	BIRC5
22293278	332	BIRC5
23414714	332	BIRC5
16741950	3320	HSP90AA1
24123003	3329	HSPD1
16259977	3371	TNC
19484261	3371	TNC
14656003	3375	IAPP
23558934	3383	ICAM1
12947323	3397	ID1
15579766	3397	ID1
16029118	3397	ID1
19785722	341	APOC1
20171178	3417	IDH1
20702649	3417	IDH1
15572361	3428	IFI16
19785722	345	APOC3
19730683	3454	IFNAR1
14602779	3479	IGF1
14973173	3479	IGF1
15098919	3479	IGF1
17666480	3479	IGF1
21123448	3479	IGF1
22582495	3479	IGF1
14973173	3480	IGF1R
19176870	3480	IGF1R
22909219	3480	IGF1R
19730683	3484	IGFBP1
22415807	3486	IGFBP3
20440262	3490	IGFBP7
18480379	351	APP
17597021	355	FAS
17598974	355	FAS
17657791	355	FAS
18162459	355	FAS
21741956	355	FAS
21509594	3550	IK
19730683	3551	IKBKB
15372364	3553	IL1B
22995155	3553	IL1B
23215728	3553	IL1B
22594576	3554	IL1R1
17598974	356	FASLG
18162459	356	FASLG
20013612	356	FASLG
19730683	3562	IL3
19730683	3563	IL3RA
14583474	3565	IL4
12553555	3569	IL6
19494710	3569	IL6
22964303	3569	IL6
23844163	3569	IL6
12553555	3570	IL6R
19730683	3572	IL6ST
22964303	3576	IL8
11524231	3579	CXCR2
14583474	3586	IL10
18997484	3586	IL10
21876975	3586	IL10
21982075	3590	IL11RA
19507063	3596	IL13
22808259	360	AQP3
21876975	3606	IL18
22808259	361	AQP4
22202241	3620	IDO1
18415893	3627	CXCL10
18283245	3630	INS
12684664	3640	INSL3
15956746	3640	INSL3
19416220	3640	INSL3
19950223	3640	INSL3
12237775	3643	INSR
21123448	3643	INSR
18474871	3654	IRAK1
21115897	3655	ITGA6
22507190	3663	IRF5
19730683	3667	IRS1
8568474	367	AR
16373395	367	AR
22386953	367	AR
22531679	367	AR
19730683	3672	ITGA1
9461325	3673	ITGA2
19730683	3675	ITGA3
23640055	3678	ITGA5
18310446	3685	ITGAV
22132110	3685	ITGAV
19730683	3689	ITGB2
23388428	3689	ITGB2
18310446	3690	ITGB3
22132110	3690	ITGB3
23640055	3690	ITGB3
12167101	3691	ITGB4
21520112	3703	STT3A
22157935	3703	STT3A
19730683	3708	ITPR1
19730683	3710	ITPR3
19730683	3716	JAK1
19730683	3717	JAK2
12747469	3732	CD82
15375577	3732	CD82
21509594	374786	EFCAB5
15772902	3763	KCNJ6
16260429	3791	KDR
18509004	3791	KDR
19776290	3791	KDR
20501673	3791	KDR
20615131	3791	KDR
21220477	3791	KDR
22711876	3791	KDR
22836040	3810	KIR2DS5
11994395	3814	KISS1
16365291	3815	KIT
18337018	3815	KIT
18622894	3815	KIT
19730683	3815	KIT
21835435	3815	KIT
22233760	3815	KIT
20542107	384	ARG2
22157935	384	ARG2
16756473	3845	KRAS
17943694	3845	KRAS
18383861	3845	KRAS
19487299	3845	KRAS
19765726	3845	KRAS
20012784	3845	KRAS
20526288	3845	KRAS
20682656	3845	KRAS
20703476	3845	KRAS
20860430	3845	KRAS
22199277	3845	KRAS
22865907	3845	KRAS
23240926	3845	KRAS
23264394	3845	KRAS
23625203	3845	KRAS
24222113	3845	KRAS
15731017	3853	KRT6A
14761598	3872	KRT17
19208833	388	RHOB
20810568	388	RHOB
14761598	3880	KRT19
15716612	3880	KRT19
17728499	3880	KRT19
18308654	3880	KRT19
18409152	3880	KRT19
18833815	3880	KRT19
19926583	3880	KRT19
20198455	3880	KRT19
20204403	3880	KRT19
22535608	3880	KRT19
22989467	3880	KRT19
22997967	3880	KRT19
23269585	3880	KRT19
23900865	3880	KRT19
17322488	389434	IYD
10850414	3895	KTN1
22472175	3897	L1CAM
19730683	391	RHOG
24170107	3918	LAMC2
20350937	392371	KRT18P13
21103616	3930	LBR
12237775	3932	LCK
18768801	3934	LCN2
22237710	3934	LCN2
22371224	3934	LCN2
23150684	3934	LCN2
23516535	3939	LDHA
23516535	3945	LDHB
12857430	3952	LEP
20008098	3952	LEP
22076163	3952	LEP
20008098	3953	LEPR
20045163	3953	LEPR
22076163	3953	LEPR
18630998	3956	LGALS1
19688976	3956	LGALS1
19730683	3956	LGALS1
12112826	3958	LGALS3
12213909	3958	LGALS3
12615069	3958	LGALS3
12642626	3958	LGALS3
12767519	3958	LGALS3
12963125	3958	LGALS3
14558920	3958	LGALS3
15386597	3958	LGALS3
15887854	3958	LGALS3
16045783	3958	LGALS3
16244583	3958	LGALS3
16722927	3958	LGALS3
17221114	3958	LGALS3
17515507	3958	LGALS3
17597183	3958	LGALS3
17728499	3958	LGALS3
17868400	3958	LGALS3
17906980	3958	LGALS3
18045960	3958	LGALS3
18415710	3958	LGALS3
18418527	3958	LGALS3
18460740	3958	LGALS3
18495537	3958	LGALS3
18581271	3958	LGALS3
18630998	3958	LGALS3
18657294	3958	LGALS3
19124005	3958	LGALS3
19199318	3958	LGALS3
19798881	3958	LGALS3
19799084	3958	LGALS3
20198455	3958	LGALS3
20204403	3958	LGALS3
20363921	3958	LGALS3
20450430	3958	LGALS3
20682656	3958	LGALS3
21234707	3958	LGALS3
21691201	3958	LGALS3
21724837	3958	LGALS3
22513979	3958	LGALS3
22535608	3958	LGALS3
22553813	3958	LGALS3
22783570	3958	LGALS3
22997967	3958	LGALS3
23235344	3958	LGALS3
23259327	3958	LGALS3
17091455	3959	LGALS3BP
17091456	3959	LGALS3BP
18418527	3963	LGALS7
19009371	3964	LGALS8
20570039	3976	LIF
19092295	3981	LIG4
20811692	3981	LIG4
19019431	399	RHOH
19730683	399979	SNX19
16807059	4035	LRP1
15485806	405	ARNT
19730683	405	ARNT
23168236	4059	BCAM
22965940	406881	MIRLET7A1
23685355	406902	MIR10A
23563786	406903	MIR10B
21752897	406904	MIR1-1
21946411	406917	MIR129-1
21537871	406920	MIR130B
23144465	406920	MIR130B
16365291	406938	MIR146A
18474871	406938	MIR146A
19164563	406938	MIR146A
23451063	406938	MIR146A
22728346	406947	MIR155
23796566	406947	MIR155
22351693	406974	MIR197
23416953	406986	MIR203
16365291	406991	MIR21
21159845	406991	MIR21
22351693	406991	MIR21
23416953	406991	MIR21
21159845	406995	MIR181A1
23720784	407001	MIR218-2
16365291	407006	MIR221
17914108	407006	MIR221
21159845	407006	MIR221
22728346	407006	MIR221
22855362	407006	MIR221
23023232	407006	MIR221
17914108	407007	MIR222
21537871	407007	MIR222
22351693	407007	MIR222
23023232	407007	MIR222
23861775	407015	MIR26A1
23144465	407035	MIR31
23625920	407039	MIR33A
21537871	407041	MIR34B
20579375	4072	EPCAM
23153310	4072	EPCAM
18383837	4085	MAD2L1
12952364	4089	SMAD4
15940269	4089	SMAD4
19730683	4089	SMAD4
20685810	4089	SMAD4
22109972	4089	SMAD4
23591524	4089	SMAD4
19730683	409	ARRB2
12952364	4092	SMAD7
19730683	4092	SMAD7
17699848	4102	MAGEA3
18829569	4102	MAGEA3
19261683	4102	MAGEA3
24238058	4103	MAGEA4
20146079	4143	MAT1A
19730683	4147	MATN2
19493000	4157	MC1R
23712706	4162	MCAM
16722928	4171	MCM2
19818763	4172	MCM3
21509594	4172	MCM3
23821456	4172	MCM3
11048798	4192	MDK
17188136	4193	MDM2
18234963	4193	MDM2
23218882	4193	MDM2
16266988	4194	MDM4
18335186	4194	MDM4
12538453	4233	MET
14508824	4233	MET
15192042	4233	MET
20558345	4233	MET
21220347	4233	MET
22127603	4233	MET
22135723	4233	MET
21200087	4255	MGMT
21358597	4255	MGMT
18415893	4283	CXCL9
17188136	4288	MKI67
17525638	4288	MKI67
17972530	4288	MKI67
19818763	4288	MKI67
21422198	4288	MKI67
22783570	4288	MKI67
8390674	429	ASCL1
14668716	429	ASCL1
16029117	429	ASCL1
18470905	4292	MLH1
18683134	4292	MLH1
19730683	4292	MLH1
20450746	4292	MLH1
21358597	4292	MLH1
19730683	43	ACHE
19432148	4312	MMP1
19480010	4312	MMP1
18651826	4313	MMP2
18652765	4313	MMP2
18664479	4313	MMP2
21086628	4313	MMP2
22820140	4313	MMP2
22901190	4313	MMP2
23384723	4313	MMP2
23673111	4313	MMP2
23685894	4313	MMP2
19432148	4314	MMP3
19730683	4316	MMP7
22042554	4316	MMP7
17397984	4318	MMP9
19480010	4318	MMP9
20193458	4318	MMP9
21086628	4318	MMP9
23150684	4318	MMP9
23353996	4318	MMP9
23673111	4318	MMP9
12538453	4320	MMP11
17091452	4320	MMP11
23467939	4322	MMP13
9345104	4333	MNG1
21509594	4354	MPP1
22351693	442901	MIR328
20209130	442916	MIR371A
21449767	4435	CITED1
21358597	4436	MSH2
18683134	4437	MSH3
19730683	4437	MSH3
22177047	4478	MSN
21249150	4485	MST1
12640681	4495	MT1G
18332874	4495	MT1G
19286843	4520	MTF1
15447919	4524	MTHFR
21050834	4524	MTHFR
21934341	4524	MTHFR
22536880	4524	MTHFR
8608966	4582	MUC1
17916995	4582	MUC1
21057891	4582	MUC1
21615302	4585	MUC4
21348892	4586	MUC5AC
20625837	4595	MUTYH
18566574	4609	MYC
19730683	4609	MYC
22986535	4609	MYC
18566574	4610	MYCL
21509594	4666	NACA
8088785	4670	HNRNPM
22691366	468	ATF4
19772428	4683	NBN
19153015	4684	NCAM1
23015367	4684	NCAM1
20350937	4686	NCBP1
21509594	4718	NDUFC2
19286843	472	ATM
22438227	472	ATM
22691366	4780	NFE2L2
23766517	4780	NFE2L2
18508109	4790	NFKB1
19879919	4790	NFKB1
19885592	4790	NFKB1
20492683	4790	NFKB1
2906326	4803	NGF
15757202	4830	NME1
18996649	4830	NME1
15486044	4837	NNMT
16676400	4837	NNMT
17090547	4851	NOTCH1
18664540	4851	NOTCH1
22066479	4851	NOTCH1
22118425	4851	NOTCH1
22066479	4855	NOTCH4
20515654	4869	NPM1
21258971	4869	NPM1
12727991	4893	NRAS
17786355	4893	NRAS
17900235	4893	NRAS
17943694	4893	NRAS
18000091	4893	NRAS
18310288	4893	NRAS
19487299	4893	NRAS
19765726	4893	NRAS
20012784	4893	NRAS
20526288	4893	NRAS
20860430	4893	NRAS
21796448	4893	NRAS
22199277	4893	NRAS
22650231	4893	NRAS
23240926	4893	NRAS
24222113	4893	NRAS
17667921	4897	NRCAM
1532241	4914	NTRK1
7565764	4914	NTRK1
10443680	4914	NTRK1
15273715	4914	NTRK1
16483615	4914	NTRK1
19730683	4914	NTRK1
19883730	4914	NTRK1
17786355	4921	DDR2
19878995	4922	NTS
23685355	494324	MIR375
20231640	4968	OGG1
18367263	4982	TNFRSF11B
18399769	4982	TNFRSF11B
19730683	4982	TNFRSF11B
17947359	5027	P2RX7
19017759	5027	P2RX7
16741950	5028	P2RY1
16741950	5029	P2RY2
20734161	5037	PEBP1
18467449	5045	FURIN
11443211	50506	DUOX2
11762710	50506	DUOX2
19952225	50506	DUOX2
19779036	50507	NOX4
10530780	5052	PRDX1
19558833	5052	PRDX1
22171322	5054	SERPINE1
18787380	5058	PAK1
1337742	5076	PAX2
9837827	50975	TCO
23520464	5104	SERPINA5
24222120	5104	SERPINA5
1657985	5105	PCK1
10980597	5108	PCM1
22907586	51094	ADIPOR1
22466343	5133	PDCD1
20350937	51531	C9orf156
11953824	51547	SIRT7
12454780	51547	SIRT7
17227125	5155	PDGFB
18310286	5155	PDGFB
22327316	5156	PDGFRA
22744707	5156	PDGFRA
22267200	51562	MBIP
9492013	5159	PDGFRB
10439047	51592	TRIM33
15027116	5168	ENPP2
18497954	5168	ENPP2
23558934	5168	ENPP2
20186503	5170	PDPK1
10843192	5172	SLC26A4
11716048	5172	SLC26A4
12727855	5172	SLC26A4
16260629	5172	SLC26A4
17854396	5172	SLC26A4
18710471	5172	SLC26A4
19050049	5172	SLC26A4
19730683	5172	SLC26A4
21035230	5172	SLC26A4
12547722	51738	GHRL
16187069	51738	GHRL
19039650	51738	GHRL
21165813	51738	GHRL
18047428	51741	WWOX
21520031	51741	WWOX
19207009	5245	PHB
21152868	5245	PHB
21470421	5265	SERPINA1
12964023	5268	SERPINB5
14532972	5268	SERPINB5
14534696	5268	SERPINB5
14743202	5268	SERPINB5
15009909	5268	SERPINB5
16892558	5268	SERPINB5
18597952	5268	SERPINB5
15928251	5290	PIK3CA
16288007	5290	PIK3CA
17317825	5290	PIK3CA
17426084	5290	PIK3CA
18000091	5290	PIK3CA
19487299	5290	PIK3CA
20008098	5290	PIK3CA
20186503	5290	PIK3CA
20526288	5290	PIK3CA
20860430	5290	PIK3CA
21407159	5290	PIK3CA
23185308	5290	PIK3CA
18502332	5294	PIK3CG
19897009	5294	PIK3CG
21487925	5295	PIK3R1
20372070	5308	PITX2
2813362	5315	PKM
23846818	5315	PKM
19730683	5327	PLAT
16807059	5328	PLAU
18321763	5328	PLAU
19730683	5328	PLAU
21106716	5328	PLAU
22702340	5328	PLAU
12017319	5329	PLAUR
19480010	5329	PLAUR
21106716	5329	PLAUR
21191179	5329	PLAUR
22702340	5329	PLAUR
16153436	5335	PLCG1
21057533	53353	LRP1B
15940252	53358	SHC3
14735186	5347	PLK1
15015605	5347	PLK1
